id,year,month,partner_id,total_hits,total_views,paid_content_views,search_engine_views,institution_views,indi_sub_views,meter_block_views,meter_limit_views,unsubscribed_views
,2017,1,tair,,3884336,,,,,,,
,2017,2,tair,,3937048,,,,,,,
,2017,3,tair,,4502945,,,,,,,
,2017,4,tair,,4030998,,,,,,,
,2017,5,tair,,4771808,,,,,,,
,2017,6,tair,,4291462,,,,,,,
,2017,7,tair,,2620448,,,,,,,
,2017,8,tair,,4191694,,,,,,,
,2017,9,tair,,3957309,,,,,,,
,2017,10,tair,,4662929,,,,,,,
,2017,11,tair,,5987615,,,,,,,
,2017,12,tair,,5055416,,,,,,,
,2018,1,tair,,2955589,,,,,,,
,2018,2,tair,,3519130,,,,,,,
,2018,3,tair,,3800301,,,,,,,
,2018,4,tair,,3349475,,,,,,,
,2018,5,tair,,4367177,,,,,,,
,2018,6,tair,,4493974,,,,,,,
,2018,7,tair,,4346853,,,,,,,
,2018,8,tair,,3621392,,,,,,,
,2018,9,tair,,3809622,,,,,,,
,2018,10,tair,,3584975,,,,,,,
,2018,11,tair,,3810388,,,,,,,
,2018,12,tair,,3576768,,,,,,,
,2019,1,tair,,3622256,,,,,,,
,2019,2,tair,,3195289,,,,,,,
,2019,3,tair,,4358124,,,,,,,
,2019,4,tair,,3695433,,,,,,,
,2019,5,tair,,3628265,,,,,,,
,2019,6,tair,,3343201,,,,,,,
,2019,7,tair,,3893102,,,,,,,
,2019,8,tair,,3010549,,,,,,,
,2019,9,tair,,2885486,,,,,,,
,2019,10,tair,,2657611,,,,,,,
,2019,11,tair,,3305032,,,,,,,
,2019,12,tair,,2595729,,,,,,,
,2020,1,tair,,2461336,,,,,,,
,2020,2,tair,,2280506,,,,,,,
,2020,3,tair,,2296892,,,,,,,
,2020,4,tair,,2231648,,,,,,,
,2020,5,tair,,2629988,,,,,,,
,2020,6,tair,,2487681,,,,,,,
,2020,7,tair,,2411781,,,,,,,
,2020,8,tair,,2724950,,,,,,,
,2020,9,tair,,2274011,,,,,,,
,2020,10,tair,,2502468,,,,,,,
,2020,11,tair,,3225568,,,,,,,
,2020,12,tair,,2912313,,,,,,,
,2021,1,tair,,3491218,,,,,,,
,2021,2,tair,,2234070,,,,,,,
,2021,3,tair,,2931322,,,,,,,
,2021,4,tair,,3083225,,,,,,,
,2021,5,tair,,3366760,,,,,,,
,2021,6,tair,,3824627,,,,,,,
,2021,7,tair,,2870579,,,,,,,
,2021,8,tair,,2872794,,,,,,,
,2021,9,tair,,2954254,,,,,,,
,2021,10,tair,,2941332,,,,,,,
,2021,11,tair,,3307581,,,,,,,
,2021,12,tair,,1707895,,,,,,,
,2022,1,tair,,2393674,,,,,,,
,2022,2,tair,,2812865,,,,,,,
,2022,3,tair,,3229740,,,,,,,
,2022,4,tair,,3981917,,,,,,,
,2022,5,tair,,3129304,,,,,,,
,2022,6,tair,,3065694,,,,,,,
,2022,7,tair,,2850130,,,,,,,
,2022,8,tair,,3195499,,,,,,,
,2022,9,tair,,2945535,,,,,,,
,2022,10,tair,,3167396,,,,,,,
,2022,11,tair,,3420649,,,,,,,
,2022,12,tair,,3760664,,,,,,,
,2023,1,tair,,3485318,,,,,,,
,2023,2,tair,,3342628,,,,,,,
,2023,3,tair,,3808331,,,,,,,
,2023,4,tair,,3132493,,,,,,,
,2019,1,repbase,,25,,,,,,,
,2019,3,repbase,,31,,,,,,,
,2019,4,repbase,,7461,,,,,,,
,2019,5,repbase,,9704,,,,,,,
,2019,6,repbase,,8179,,,,,,,
,2019,7,repbase,,21682,,,,,,,
,2019,8,repbase,,9662,,,,,,,
,2019,9,repbase,,444866,,,,,,,
,2019,10,repbase,,368754,,,,,,,
,2019,11,repbase,,378261,,,,,,,
,2019,12,repbase,,449697,,,,,,,
,2020,1,repbase,,343152,,,,,,,
,2020,2,repbase,,420473,,,,,,,
,2020,3,repbase,,505412,,,,,,,
,2020,4,repbase,,451348,,,,,,,
,2020,5,repbase,,420043,,,,,,,
,2020,6,repbase,,360474,,,,,,,
,2020,7,repbase,,486711,,,,,,,
,2020,8,repbase,,511308,,,,,,,
,2020,9,repbase,,367007,,,,,,,
,2020,10,repbase,,515710,,,,,,,
,2020,11,repbase,,455162,,,,,,,
,2020,12,repbase,,420854,,,,,,,
,2021,1,repbase,,429649,,,,,,,
,2021,2,repbase,,294802,,,,,,,
,2021,3,repbase,,450346,,,,,,,
,2021,4,repbase,,406341,,,,,,,
,2021,5,repbase,,555735,,,,,,,
,2021,6,repbase,,462070,,,,,,,
,2021,7,repbase,,334195,,,,,,,
,2021,8,repbase,,478122,,,,,,,
,2021,9,repbase,,414732,,,,,,,
,2021,10,repbase,,465553,,,,,,,
,2021,11,repbase,,633238,,,,,,,
,2021,12,repbase,,243595,,,,,,,
,2022,1,repbase,,468526,,,,,,,
,2022,2,repbase,,540975,,,,,,,
,2022,3,repbase,,620439,,,,,,,
,2022,4,repbase,,725963,,,,,,,
,2022,5,repbase,,535689,,,,,,,
,2022,6,repbase,,560905,,,,,,,
,2022,7,repbase,,645638,,,,,,,
,2022,8,repbase,,523768,,,,,,,
,2022,9,repbase,,568878,,,,,,,
,2022,10,repbase,,734542,,,,,,,
,2022,11,repbase,,585679,,,,,,,
,2022,12,repbase,,586419,,,,,,,
,2023,1,repbase,,656734,,,,,,,
,2023,2,repbase,,461581,,,,,,,
,2023,3,repbase,,591944,,,,,,,
,2023,4,repbase,,489173,,,,,,,
